Kode_Barcode,Nama_Produk,Kategori,Harga,Satuan,Stok
8992761147129,FANTA GRAPE 425ML,,,,
8992761136055,FANTA SOFT DRINK STRAWBERRY PET 1500mL,,,,
8992761147051,FANTA ORANGE PET 425mL,,,,
8999999007799,FAIR & LOVELY TUB 50g,,,,
9556089882309,FABER CASTELL PENGHAPUS,,,,
4005401171003,FABER CASTELL PENCIL HB,,,,
8993058000653,EXTRA JOSS PCK 6X4g,,,,
8999988888828,ESPE STRAWBERRY KLG 320mL,,,,
8999988888811,ESPE ORANGE KLG 320mL,,,,
8999988888866,ESPE LECI KLG 320mL,,,,
8999988888842,ESPE JAMBU KLG 320mL,,,,
8999988888859,ESPE ANGGUR KLG 320mL,,,,
8993417412240,ESKULIN SNOW WHITE BTL 125mL,,,,
8993417402241,ESKULIN (MERAH) MULAN BTL,,,,
8993417402227,ESKULIN (BIRU) CINDERELLA,,,,
8993417390234,ESKULIN KIDS SHAMPOO & COND MINNIE PINK,,,,
8993417372230,ESKULIN KIDS MINNIE PINK,,,,
8993417372223,ESKULIN KIDS DONALD BLUE BTL,,,,
8995026802023,ENKASARI 120mL,,,,
8992112011017,ENERVON-C VITAMIN 4 S,,,,
8996001440124,ENERGEN VANILLA RCG 10X30g,,,,
8996001440087,ENERGEN KACANG HIJ RCG 10X32g,,,,
8996001440353,ENERGEN JAHE RCG 10X30G,,,,
8996001440049,ENERGEN CHOCOLATE RCG 10X30g,,,,
8998866100564,EMERON SHAMPO BLACK & SH BTL 170mL,,,,
8998866101516,EMERON LOTION ROSE BTL 100mL,,,,
8998866101509,EMERON BODY LOTION MANGIR BTL 100mL,,,,
8993417200045,ELLIPS SHINY BLAC PCK 6X1mL,,,,
8993417200038,ELLIPS (ungu) COLO PCK 6X1mL,,,,
8993417200021,ELLIPS (PINK) HAIR TREAT PCK 6X1mL,,,,
8993417200014,ELLIPS (KUNING) SMOOTH & S PCK 6X1mL,,,,
8998866601979,EKONOMI REFFIL E-2KPCK 2000g,,,,
8998866671736,EKONOMI A-NODA 560GR,,,,
8998866600101,EKONOMI LEMON 560GR,,,,
8998866601597,EKONOMI SCT 58 GR,,,,
8998866601375,EKONOMI ANTI NODA PCK,,,,
8694677100006,EAGLE S BLACK HENN PCS 10g,,,,
8996196102555,DYNAMITE SAK,,,,
89981757,DUNHILL (MERAH),,,,
89981788,DUNHILL MILDBKS 20 S mentol,,,,
89981764,DUNHILL MILDBKS 20 S biru,,,,
8998127514123,DUNHILL MILDBKS 20 S,,,,
8998181941132,DUNHILL FINE CUT FILTERBKS 16 S,,,,
8992799154014,DULCOLAX 4 SSTR,,,,
8995077600807,DUA KELINCI SNACK PILUS TIC TACPCK 100g,,,,
8995077601514,DUA KELINCI SNACK PILUS TIC TAC SAPI PANGG PCK 10,,,,
8995077602658,DUA KELINCI KACANG MIX NUTPCK 75g,,,,
11747233033,DUA KELINCI KACANG GARINGPCK 250g,,,,
8992946522369,DREAM WHITENING FACIAL SOAP PAPAYA BAR 100g,,,,
4902430972260,DOWNY SOFTENER SUNRISE FRESH 400mL,,,,
4902430276436,DOWNY SOFTENER PASSION 370mL,,,,
4902430302500,DOWNY SOFTENER ANTI BACTE 400mL,,,,
8999999041212,DOVE SHAMPOO DANDRUFF C BTL 70mL,,,,
8999999041274,DOVE SHAMPOO NOURIS BTL 160mL,,,,
8999999039103,DOVE SHAMPO TOTAL DAM BTL 70ml,,,,
8999999037185,DOVE CONDITIONER OTAL DAMAGE BTL,,,,
8995077600166,SUKRO PCK 140g,,,,
8999909028999,DJI SAM SOE SUPER PREM 12 S,,,,
8999909000162,DJI SAM SOE MAGNUM BLUE,,,,
8999909001909,DJI SAM SOE MAGNUM 12,,,,
8991906101361,DJARUM SUPER MILD 20 S,,,,
8991906101026,DJARUM SUPER FILTER 16 S,,,,
8991906101019,DJARUM SUPER FILTER 12 S,,,,
8991906101644,DJARUM KRETEK COKLAT 12 S,,,,
8991906101316,DJARUM BLACK MILD,,,,
8991906101255,DJARUM BLACK MENTOL,,,,
8991906101170,DJARUM R BLACK CAPUCINO,,,,
8991906101125,DJARUM BLACKFILTER 16,,,,
8993366201216,DIXI CUKABTL 150mL,,,,
8992856895850,DIRECT MEN JR DEEP BLUE BTL,,,,
8998777110218,DIAPET 4 SSTR,,,,
8993560027247,DETTOL INSTANT HAND SANITISERBTL 50mL,,,,
8993560027230,DETTOL HAND WASH ANTI BAKTERI SKINCARE PCH 200mL,,,,
8993560026004,DETTOL BODY WASH ANTISEPTIC ORIGINAL PCH 250mL,,,,
8993560026011,DETTOL BODY WASH ANTISEPTIC FRESH PCH 250mL,,,,
8993560026400,DETTOL BODY WASH ANTI BAKTERI ORIGINAL BTL 125mL,,,,
8993560026417,DETTOL BODY WASH ANTI BAKTERI COOL BTL 125mL,,,,
8993560022020,DETTOL LIQUID BTL 100mL,,,,
8991001780232,DELFI TWISTER MINIS CHOCO CREA PCK 80,,,,
8991001780225,DELFI TWISTER MINIS BLACK VANI PCK 80,,,,
